,SENARAI POKOK TEDUHAN DI PERUMAHAN AWAM DAN PERUMAHAN RAKYAT  WILAYAH PERSEKUTUAN KUALA LUMPUR,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Kawasan Perumahan Awam,ID Pokok,Jenis,Nama Tempatan,Nama Saintifik,Family,Tinggi,Lebar Silara,Saiz Ukur Lilit,Tarikh Tanam,Tarikh Inventori
Perumahan Awam Putra Ria,ASK0025,Pokok Teduhan,Kapur,Dryobalanops aromatica,Dipterocarpaceae,9.4,8.4849999999999994,0.76,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0026,Pokok Teduhan,Kapur,Dryobalanops aromatica,Dipterocarpaceae,9.9,8.0640000000000001,1,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0027,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.7,6.1429999999999998,0.7,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0028,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,5.0999999999999996,4.0330000000000004,0.43,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0029,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,6.1,5.3049999999999997,0.5,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0030,Pokok Teduhan,Asam jawa,Tamarindus indica,Fabaceae,7.5,5.9050000000000002,0.7,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0031,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,8.1,6.3849999999999998,0.6,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0032,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.9,6.63,0.68,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0033,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,8.5,6.9829999999999997,0.76,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0034,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,5.3,4.0940000000000003,0.55000000000000004,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0035,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,5.9,5.3029999999999999,0.47,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0036,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,6.8,4.3899999999999997,0.5,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0037,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,5.9,4.6539999999999999,0.4,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0038,Pokok Teduhan,Limau bali,Citras grandis,Rutaceae,5.6,4.7350000000000003,0.5,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0039,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.5,5.3890000000000002,0.5,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0040,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.3,5.9359999999999999,0.6,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0041,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,6.8,5.3010000000000002,0.53,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0042,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.1,6.0090000000000003,0.55000000000000004,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0043,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.8,6.3220000000000001,0.65,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0044,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,8,6.1550000000000002,0.69,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0045,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.8,5.306,0.65,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0046,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,6.9,5.26,0.43,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0047,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.8,5.1050000000000004,0.57999999999999996,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0048,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.4,6.3,0.65,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0049,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,8,6.13,0.59,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0050,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7,5.25,0.65,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0051,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.6,5.63,0.56000000000000005,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0052,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,6.5,5.6539999999999999,0.5,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0053,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,6.9,5.375,0.75,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0054,Pokok Teduhan,Mangga,Mangifera indica,Anacardiaceae,7.5,5.1550000000000002,0.39,2000 - 2010,20170823
Perumahan Awam Putra Ria,ASK0055,Pokok Teduhan,Nangka,Artocarpus heterophyllus,Moraceae,7.9,6.59,0.65,2000 - 2010,20170823
