GIS - Pengurusan Gunatanah Semasa bagi Institusi dan Kemudahan Masyarakat Pada Tahun 2010,,,,,,
,,,,,,
Bil.,No. Lot,Kampung,Gunatanah,Aktiviti,Kategori,Luas(hek)
168,9376,Kampung Sungai Labu,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.20599999999999999
169,9376,Kampung Sungai Labu,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.21
170,5406,Kampung Bebuloh,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.621
171,5102,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,0.42599999999999999
172,6512,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Perkuburan,Krematorium,0.26700000000000002
173,9430,Kampung Pohon Batu,Institusi Dan Kemudahan Masyarakat,Keagamaan,Masjid,0.128
174,8103,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.20799999999999999
175,8115,Kampung Patau-Patau No. 1,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.19400000000000001
176,1578,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Muzium,1E-3
177,1578,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Pejabat Pos,6.4000000000000001E-2
178,6641,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Muzium,0.46
179,5658,Kampung Batu Manikar,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,9.2999999999999999E-2
180,6560,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Balai Bomba Dan Penyelamat,1.6850000000000001
181,6511,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Kompleks Mahkamah Labuan,0.81100000000000005
182,6561,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Badan Berkanun,0.48
183,6556,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Lain-Lain,0.91200000000000003
184,8199,Pulau Papan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Lain-Lain,0.81
185,1375,Pulau Kuraman,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Lain-Lain,0.46500000000000002
186,1079,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.04
187,874,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Pejabat Pos,7.3999999999999996E-2
188,593,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,0.216
189,6644,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Rumah Kebajikan,Rumah Persatuan / Pertubuhan,0.113
190,2713,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.8080000000000001
191,2713,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,2.1629999999999998
192,876,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,0.92800000000000005
193,3082,Kampung Batu Arang,Institusi Dan Kemudahan Masyarakat,Keagamaan,Gereja,0.55500000000000005
194,22880,Kampung Bebuloh,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,5.5E-2
195,22880,Kampung Bebuloh,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.106
196,5983,Kampung Sungai Lada,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.67500000000000004
197,6648,Kampung Gersik / Saguking,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,0.17899999999999999
198,6648,Kampung Gersik / Saguking,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Balai Raya,0.192
199,8057,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.54800000000000004
200,219,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,3.2530000000000001
201,7615,Kampung Sungai Labu,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,5.2030000000000003
202,7633,Kampung Gersik / Saguking,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Lain-Lain,4.2999999999999997E-2
203,7957,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Keagamaan,Tokong,0.20699999999999999
204,8015,Kampung Sungai Keling,Institusi Dan Kemudahan Masyarakat,Pendidikan,Tadika,0.27300000000000002
205,2955,Kampung Sungai Lada,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Lain-Lain,2.8090000000000002
206,1553,Kampung Sungai Buton,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,3.4000000000000002E-2
207,3516,Kampung Sungai Bedaun,Institusi Dan Kemudahan Masyarakat,Lain-Lain Kemudahan Masyarakat,Lain-Lain,9.4E-2
208,6829,Kampung Bukit Kallam,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.23400000000000001
209,4385,Kampung Sungai Bangat,Institusi Dan Kemudahan Masyarakat,Pendidikan,Institut Latihan Perindustrian,12.244
210,1161,Kampung Sungai Bangat,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Menengah,5.7779999999999996
211,1220,Kampung Pohon Batu,Institusi Dan Kemudahan Masyarakat,Keagamaan,Gereja,0.76900000000000002
212,646,Kampung Ganggarak/Merinding,Institusi Dan Kemudahan Masyarakat,Pendidikan,Institut Pendidikan Tinggi,23.381
213,174,Kampung Ranca-Ranca,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.29899999999999999
